bucket,contract_id,job_title,job_amount,category,subcategory,num_opening_attachments,opening_attachment_files,num_deliverable_files,deliverable_files,has_milestones_json,has_chat_messages_json
paid,26605304,Brauche hilfe Satzung Zweck umschreiben,50.00000000,Writing,Professional & Business Writing,0,,2,deliverables/.DS_Store;deliverables/paid_7569921/ODBK VEREINSATZUNG.docx,True,True
paid,30123230,Web Developer to Apply Mockup from PSD to Wordpress Elementor,40.00000000,"Web, Mobile & Software Dev",Web & Mobile Design,0,,5,deliverables/.DS_Store;deliverables/paid_9951750/screencapture-services-sbsgroup-sg-accounting-services-2022-05-15-13_20_36.png;deliverables/paid_10848685/screencapture-giatroizois-gr-home-2022-10-13-16_34_27.png;deliverables/paid_13826749/screencapture-prostatecancer-gr-home-2024-02-17-15_39_09.png;deliverables/paid_11522376/screencapture-neo-centralurology-gr-2023-02-04-23_09_17.png,True,True
paid,35648772,Century Spring Test Blog Article (1),360.00000000,Writing,Content Writing,0,,1,deliverables/paid_13418001/Types of Springs and Their Applications-Gdraft12082023.docx,True,True
paid,36052742,CS Compression Springs Landing Page Copywriting,225.00000000,Writing,Sales & Marketing Copywriting,0,,1,deliverables/paid_13653865/Compression Spring Landing-GG01192024.docx,True,True
paid,37923084,Data flow mapping for CRM,150.00000000,Data Science & Analytics,Data Analysis & Testing,0,,2,deliverables/paid_14860815/Project Cost Summary.png;deliverables/paid_14860815/Process Flowchart.png,True,True
paid,39466449,kit anger,130.00000000,Design & Creative,"Graphic, Editorial & Presentation Design",0,,1,deliverables/paid_15734294/E-book Anger.working.docx,True,True
paid,41712429,American English VO for short animated video,40.00000000,Design & Creative,Performing Arts,0,,2,deliverables/paid_17156442/Orris Creative Arena 2.1.mp3;deliverables/paid_17156442/Orris Creative Arena 2.2.mp3,True,True
paid,41829618,Draft and Send Demand Letter via Certified Mail and Email,,Sales & Marketing,Digital Marketing,0,,2,deliverables/paid_17320887/DEMAND_FINAL.docx;deliverables/paid_17320887/F.ALI_Demand letter.Final_Pre litigation_10.5.2025.pdf,True,True
paid,42204309,Project Rebuild MVP – Base NFT + Referral Engine + Fiat On-Ramp,6500.00000000,"Web, Mobile & Software Dev",Web Development,0,,70,deliverables/.DS_Store;deliverables/paid_17490607/.DS_Store;deliverables/paid_17490607/Project Rebuild_ step-by-step guide for setting up and testing the contracts.pdf;deliverables/paid_17490607/projectrebuild-main/foundry.toml;deliverables/paid_17490607/projectrebuild-main/Dockerfile;deliverables/paid_17490607/projectrebuild-main/Makefile;deliverables/paid_17490607/projectrebuild-main/foundry.lock;deliverables/paid_17490607/projectrebuild-main/.gitmodules;deliverables/paid_17490607/projectrebuild-main/README.md;deliverables/paid_17490607/projectrebuild-main/.dockerignore;deliverables/paid_17490607/projectrebuild-main/.gitignore;deliverables/paid_17490607/projectrebuild-main/package.json;deliverables/paid_17490607/projectrebuild-main/docker-compose.override.yml.example;deliverables/paid_17490607/projectrebuild-main/docker-compose.yml;deliverables/paid_17490607/projectrebuild-main/test/tickets/TicketReset.t.sol;deliverables/paid_17490607/projectrebuild-main/test/tickets/SmallBlock.t.sol;deliverables/paid_17490607/projectrebuild-main/test/tickets/TicketAwarding.t.sol;deliverables/paid_17490607/projectrebuild-main/test/tickets/BigBlock.t.sol;deliverables/paid_17490607/projectrebuild-main/test/pools/BigBlockPool.t.sol;deliverables/paid_17490607/projectrebuild-main/test/pools/SmallBlockPool.t.sol;deliverables/paid_17490607/projectrebuild-main/test/pools/PoolAccounting.t.sol;deliverables/paid_17490607/projectrebuild-main/test/mint/Mint.t.sol;deliverables/paid_17490607/projectrebuild-main/test/mint/Referral.t.sol;deliverables/paid_17490607/projectrebuild-main/test/mint/RandomReferral.t.sol;deliverables/paid_17490607/projectrebuild-main/test/mint/RoyaltySecondary.t.sol;deliverables/paid_17490607/projectrebuild-main/test/utils/Helpers.t.sol;deliverables/paid_17490607/projectrebuild-main/test/aave/Staking.t.sol;deliverables/paid_17490607/projectrebuild-main/test/vrf/VRFReferral.t.sol;deliverables/paid_17490607/projectrebuild-main/test/vrf/VRFDraws.t.sol;deliverables/paid_17490607/projectrebuild-main/test/metadata/URIUpdates.t.sol;deliverables/paid_17490607/projectrebuild-main/test/metadata/MetadataRenderer.t.sol;deliverables/paid_17490607/projectrebuild-main/test/full-flow/EndToEndSimulation.t.sol;deliverables/paid_17490607/projectrebuild-main/contracts/mocks/MockUSDC.sol;deliverables/paid_17490607/projectrebuild-main/contracts/mocks/MockSecondaryMarketplace.sol;deliverables/paid_17490607/projectrebuild-main/contracts/mocks/MockVRFCoordinator.sol;deliverables/paid_17490607/projectrebuild-main/contracts/mocks/MockAavePool.sol;deliverables/paid_17490607/projectrebuild-main/contracts/core/MetadataRenderer.sol;deliverables/paid_17490607/projectrebuild-main/contracts/core/ProjectRebuildNFT.sol;deliverables/paid_17490607/projectrebuild-main/contracts/core/RewardsLibrary.sol;deliverables/paid_17490607/projectrebuild-main/contracts/core/AaveStaking.sol;deliverables/paid_17490607/projectrebuild-main/contracts/core/ERC721C.sol;deliverables/paid_17490607/projectrebuild-main/contracts/core/VRFConsumer.sol;deliverables/paid_17490607/projectrebuild-main/contracts/core/TicketManager.sol;deliverables/paid_17490607/projectrebuild-main/contracts/core/PoolsLibrary.sol;deliverables/paid_17490607/projectrebuild-main/contracts/core/PrizePool.sol;deliverables/paid_17490607/projectrebuild-main/contracts/core/ReferralLibrary.sol;deliverables/paid_17490607/projectrebuild-main/contracts/libraries/Structs.sol;deliverables/paid_17490607/projectrebuild-main/contracts/libraries/Base64.sol;deliverables/paid_17490607/projectrebuild-main/contracts/libraries/Utils.sol;deliverables/paid_17490607/projectrebuild-main/contracts/errors/PrizeErrors.sol;deliverables/paid_17490607/projectrebuild-main/contracts/errors/VRFErrors.sol;deliverables/paid_17490607/projectrebuild-main/contracts/errors/AccessErrors.sol;deliverables/paid_17490607/projectrebuild-main/contracts/errors/TicketErrors.sol;deliverables/paid_17490607/projectrebuild-main/contracts/errors/MintErrors.sol;deliverables/paid_17490607/projectrebuild-main/contracts/errors/PoolErrors.sol;deliverables/paid_17490607/projectrebuild-main/contracts/interfaces/IAavePool.sol;deliverables/paid_17490607/projectrebuild-main/contracts/interfaces/IVRFCoordinator.sol;deliverables/paid_17490607/projectrebuild-main/contracts/interfaces/IVRFConsumerBaseV2.sol;deliverables/paid_17490607/projectrebuild-main/contracts/interfaces/IUSDC.sol;deliverables/paid_17490607/projectrebuild-main/contracts/interfaces/IMetadataRenderer.sol;deliverables/paid_17490607/projectrebuild-main/contracts/interfaces/IProjectRebuildNFT.sol;deliverables/paid_17490607/projectrebuild-main/contracts/interfaces/IPrizePool.sol;deliverables/paid_17490607/projectrebuild-main/contracts/interfaces/ITicketManager.sol;deliverables/paid_17490607/projectrebuild-main/contracts/deployments/config.json;deliverables/paid_17490607/projectrebuild-main/contracts/deployments/DeployProjectRebuild.s.sol;deliverables/paid_17490607/projectrebuild-main/contracts/deployments/DeployMocks.s.sol;deliverables/paid_17490607/projectrebuild-main/docs/docker.md;deliverables/paid_17490607/projectrebuild-main/scripts/setup-dependencies.sh;deliverables/paid_17490607/projectrebuild-main/scripts/docker-setup.sh;deliverables/paid_17680441/Project Rebuild - Launch Announcement.pdf,True,True
paid,43127940,Resume and Cover Letter Writing,,Accounting & Consulting,Personal & Professional Coaching,0,,5,deliverables/.DS_Store;deliverables/paid_18427787/Standard Cover Letter - Elizabeth Barriga.docx;deliverables/paid_18427787/Signature Cover Letter - Elizabeth Barriga.pdf;deliverables/paid_18427787/Signature Resume - Elizabeth Barriga.pdf;deliverables/paid_18427787/Standard Resume - Elizabeth Barriga.docx,True,True
