project_id,project_name,project_found,overall_context_quality,project_overview_quality,domain_context_quality,architecture_quality,technical_stack_quality,repository_available,repository_source,source_code_inspected,code_understanding_quality,development_environment_quality,testing_context_quality,job_description_used,conversation_used,attachment_count_used,deliverable_count_inspected,external_repository_found,external_repository_inspected,unknown_count,conflict_count,future_leakage_risk_count,manual_review_required,notes
35648772,Century Spring Test Blog Article (1),True,LOW,LOW,LOW,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,1,False,False,1,0,0,True,Project evidence is sparse and important context remains unknown.
37823726,Math content designer for a game (late primary / early secondary),True,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,4,0,0,False,
37923084,Data flow mapping for CRM,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,2,False,False,1,0,2,False,
41712429,American English VO for short animated video,True,LOW,LOW,LOW,LOW,LOW,False,,False,LOW,LOW,LOW,True,True,0,2,False,False,2,0,0,True,Project evidence is sparse and important context remains unknown.
41829618,Draft and Send Demand Letter via Certified Mail and Email,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,2,False,False,1,0,1,False,
42204309,Project Rebuild MVP – Base NFT + Referral Engine + Fiat On-Ramp,True,HIGH,HIGH,HIGH,HIGH,HIGH,True,project_archive,True,HIGH,HIGH,HIGH,True,True,0,68,False,False,1,0,2,False,
43127940,Resume and Cover Letter Writing,True,MEDIUM,MEDIUM,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,4,False,False,1,0,1,False,
43214420,"PCB Design for ESP32 Project - Power, Main, and Sensor Boards",True,HIGH,HIGH,HIGH,HIGH,HIGH,True,project_archive,True,MEDIUM,HIGH,MEDIUM,True,True,0,78,False,False,0,0,2,False,
43243270,Luxury Content Creator for Business Pitches and Brochures,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,3,False,False,1,0,1,False,
43255761,Word Templates,True,MEDIUM,HIGH,HIGH,LOW,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,5,False,False,1,0,2,False,
43424400,Crossfade Chronicles Animated Trailer,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,0,False,
43503853,Custom Beverage Mixing Device Prototype (DJ-Style Matcha Mixer),True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,3,False,False,1,0,2,False,
43531571,Graphic Novel Script Adapter Needed — Create Polished Sample for Crowdfunding,True,MEDIUM,HIGH,HIGH,LOW,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,1,1,False,False,1,0,0,False,
43711852,Print Designer needed — production artwork files for luxury pareo brand,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,0,False,
43772711,New SaaS Website Landing Page Design,True,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,4,False,False,3,0,1,False,
43796672,Landing Page Design for New Product,True,MEDIUM,HIGH,HIGH,MEDIUM,LOW,False,,False,LOW,LOW,LOW,True,True,0,1,False,False,3,0,1,False,
43804272,Update Android and Apple App and Localise to 87 languages,True,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,3,False,False,3,0,2,False,
43846196,Facebook Ad Account Issues,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,0,False,
43945601,Typography-Focused Designer for VELLVÉ,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,1,False,False,1,0,2,False,
43948285,Design Website for our Franchise Store,True,MEDIUM,HIGH,HIGH,MEDIUM,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,2,False,False,3,0,2,False,
43969153,Logo needed for UK start up catering company,True,MEDIUM,HIGH,HIGH,LOW,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,28,False,False,1,0,1,False,
44027086,Visual Strategy Consultant for Nonfiction Book,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,12,False,False,1,0,0,False,
44035087,"You will get WordPress Developer, WordPress Website, WordPress Designer, Website Design",True,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,4,0,0,False,
44036410,Security report redesign x 4,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,8,False,False,1,0,1,False,
44039904,"Blog, guest post, on page seo, off page seo",True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,1,False,False,1,0,2,False,
44041890,CHA2205 Charger Summit East,True,LOW,LOW,LOW,LOW,LOW,False,,False,LOW,LOW,LOW,True,True,0,1,False,False,1,0,0,True,Project evidence is sparse and important context remains unknown.
44063994,UGC video actress,True,LOW,MEDIUM,MEDIUM,LOW,LOW,False,,False,LOW,LOW,LOW,True,True,0,1,False,False,1,0,0,True,Project evidence is sparse and important context remains unknown.
44082218,Lead Clipper to Lead a Clipper team,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,1,False,
44099875,Looker Studio BigQuery Migration,True,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,2,False,False,1,0,1,False,
44100158,Thumbnail for youtube video,True,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,1,False,False,1,0,0,True,Project evidence is sparse and important context remains unknown.
44102153,I want to publish my paperback book. I am looking for an editor who can help me polish my manuscript,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,3,False,False,2,0,2,False,
44113196,ugc video production,True,LOW,MEDIUM,MEDIUM,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,1,False,False,2,0,1,True,Project evidence is sparse and important context remains unknown.
44117056,Licensed Electrical PE (NV) Needed to Review & Stamp Electrical As‑Built Drawings,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,1,False,False,1,0,1,False,
44127283,Weeks 156-157,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,0,False,
44128864,Agua Arc Proposal Design - GreenLatinos RFQ,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,0,False,
44132019,Financial Model,True,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,2,False,False,1,0,1,False,
44133873,Need Designer for Magazine Layout & Prepress Formatting,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,1,False,
44135417,CAD Design Engineer for 3D Conversion,True,MEDIUM,MEDIUM,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,0,False,
44138599,FB Video Ads Nutra,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,1,False,
44151581,Final Polish and Minor Edits for a 95% Complete Chinese Sales Page on Kajabi,True,MEDIUM,HIGH,HIGH,LOW,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,2,False,False,1,0,1,False,
44157148,Leadership Interview Questions Book (2nd Edition) - Ghostwriter Required,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,1,False,False,1,0,1,False,
44159104,Webflow Expert Needed for Simple SaaS Landing Page (Fast Turnaround),True,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,4,0,1,False,
44159206,New floor plan from 6+1 to three new 1+1,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,4,6,False,False,2,0,1,True,A RAR deliverable was not extractable in the current environment.
44159601,Senior Full-Stack / Platform Engineer for AI SaaS Platform,True,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,False,other,False,MEDIUM,MEDIUM,MEDIUM,True,True,0,13,False,False,2,0,1,True,Repository structure and implementation context are derived from an audit report rather than direct source inspection.
44160296,Subcontract Budget Support - Calculator & FCC,True,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,False,,False,LOW,LOW,LOW,True,True,0,3,False,False,1,0,0,False,
44166278,Full Stack Developer Needed – Billing Software (Flutter + NestJS),True,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,False,github,False,LOW,LOW,MEDIUM,True,True,1,1,True,False,3,1,1,True,A referenced external repository could not be inspected.
44177602,International Executive Assistant & Operations Generalist,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,1,False,
44184953,Troubleshoot and fix.,True,MEDIUM,HIGH,HIGH,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,0,False,
44186585,WordPress Developer - Site Speed Optimization,True,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,4,0,1,False,
44189205,Paperback Cover: Blurb Edit & Font Consistency Fix,True,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,False,,False,LOW,LOW,MEDIUM,True,True,0,0,False,False,2,0,0,False,
